NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",KHM,Cambodia,2020,2020,44.93729,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",KHM,Cambodia,2021,2021,55.98287,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",SYR,Syrian Arab Republic,2020,2020,79.99925,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",SYR,Syrian Arab Republic,2021,2021,79.46334,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",SYR,Syrian Arab Republic,2022,2022,79.10487,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ARG,Argentina,2016,2016,90.58749,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ARG,Argentina,2017,2017,89.6001,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ARG,Argentina,2018,2018,88.81147,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ARG,Argentina,2019,2019,89.34155,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ARG,Argentina,2020,2020,91.32588,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",SVK,Slovakia,2016,2016,93.52358,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",SVK,Slovakia,2017,2017,94.50162,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",SVK,Slovakia,2018,2018,95.56942,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",SVK,Slovakia,2019,2019,96.71147,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",SVK,Slovakia,2020,2020,97.10353,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40675,World,2016,2016,65.63143,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40675,World,2017,2017,66.14478,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40675,World,2018,2018,66.42922,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40675,World,2019,2019,66.57073,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40675,World,2020,2020,66.65839,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",KNA,Saint Kitts and Nevis,2016,2016,98.9189,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",KNA,Saint Kitts and Nevis,2021,2021,98.06933,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",GIN,Guinea,2016,2016,28.3466,,
