"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"299905","Official entrance age to primary education (years)","NRU","Nauru","2016","2016",6,,
"299905","Official entrance age to primary education (years)","NRU","Nauru","2017","2017",6,,
"299905","Official entrance age to primary education (years)","NRU","Nauru","2018","2018",6,,
"299905","Official entrance age to primary education (years)","NRU","Nauru","2019","2019",6,,
"299905","Official entrance age to primary education (years)","NRU","Nauru","2020","2020",6,,
"299905","Official entrance age to primary education (years)","NRU","Nauru","2021","2021",6,,
"299905","Official entrance age to primary education (years)","NRU","Nauru","2022","2022",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2016","2016",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2017","2017",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2018","2018",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2019","2019",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2020","2020",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2021","2021",6,,
"299905","Official entrance age to primary education (years)","HND","Honduras","2022","2022",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2016","2016",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2017","2017",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2018","2018",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2019","2019",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2020","2020",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2021","2021",6,,
"299905","Official entrance age to primary education (years)","MKD","North Macedonia","2022","2022",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2016","2016",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2017","2017",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2018","2018",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2019","2019",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2020","2020",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2021","2021",6,,
"299905","Official entrance age to primary education (years)","DZA","Algeria","2022","2022",6,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2016","2016",5,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2017","2017",5,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2018","2018",5,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2019","2019",5,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2020","2020",5,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2021","2021",5,,
"299905","Official entrance age to primary education (years)","IRL","Ireland","2022","2022",5,,
"299905","Official entrance age to primary education (years)","MYS","Malaysia","2016","2016",6,,
"299905","Official entrance age to primary education (years)","MYS","Malaysia","2017","2017",6,,
